,ID,UUID,Trip ID,Comment,Rate,Created At,Updated At,User Old ID,Trip Old ID,Classe,Comms,Length,Tokens
10,19543,2964967c-9aa6-42e6-b49b-beb2a967fba3,,super,5.0,2021-09-26T23:37:21.486Z,2021-09-26T23:37:21.486Z,60f5e974dcb3f875960b1da2,6150f3b810168f3d485c2829,Pas technique,super,5,['super']
11,28357,23bb252e-0349-4912-a85b-8368390d1242,44771.0,Cool,3.0,2022-01-02T15:43:04.373113Z,2022-01-02T15:43:04.373113Z,,,Pas technique,cool,4,['cool']
12,29615,e9e45f30-639c-4a38-8ec8-05a30502ecfc,46576.0,Nickel,5.0,2022-01-21T12:18:41.84707Z,2022-01-21T12:18:41.84707Z,,,Pas technique,nickel,6,['nickel']
13,30943,dd0aef82-55eb-4a42-957d-60685208c5e9,48617.0,Poignée droite en caoutchouc manquante et vélo pose au sol a mon depart,3.0,2022-02-10T07:09:02.886955Z,2022-02-10T07:09:02.886955Z,,,Technique,poignee droite en caoutchouc manquante et velo pose au sol a mon depart,71,"['poignee', 'droite', 'en', 'caoutchouc', 'manquante', 'et', 'velo', 'pose', 'au', 'sol', 'a', 'mon', 'depart']"
14,19546,5d8cdf00-4c20-4afe-b9d2-ef7a89830e89,33047.0,super comme dhab,5.0,2021-09-27T00:34:33.212Z,2021-09-27T00:34:33.212Z,60f5e974dcb3f875960b1da2,61510adc10168f3d485f42d9,Pas technique,super comme dhab,16,"['super', 'comme', 'dhab']"
15,19547,f92b9a12-c95f-4745-9cde-fd01b9712bfc,33049.0,Super cool,5.0,2021-09-27T00:34:34.67Z,2021-09-27T00:34:34.67Z,612b8007dcb3f8759630cf77,61510b1110168f3d485f4443,Pas technique,super cool,10,"['super', 'cool']"
16,485,b7b3e5dd-15ac-42df-961c-eaa6d5901b82,11897.0,Pas mal mais un peu cher,4.0,2021-03-05T23:43:52.365Z,2021-03-05T23:43:52.365Z,6042bdbfbc080b1180f10aa9,6042c072bc080b1180f140ff,Pas technique,pas mal mais un peu cher,24,"['pas', 'mal', 'mais', 'un', 'peu', 'cher']"
17,491,696e0001-ff7a-448d-9c57-53474de4aa14,11876.0,Nul nul nul ,1.0,2021-03-07T09:55:34.141Z,2021-03-07T09:55:34.141Z,604292efbc080b1180ef738b,6044a196bc080b1180fe7a3c,Pas technique,nul nul nul ,12,"['nul', 'nul', 'nul']"
18,503,a588e2fc-4c0b-458a-9bf0-3a82cd09a60d,11645.0,C est un peu cher quand meme,5.0,2021-03-08T08:28:03.643Z,2021-03-08T08:28:03.643Z,603bdf78bc080b11809dc0c2,603e4c60bc080b1180b428c0,Pas technique,c est un peu cher quand meme,28,"['c', 'est', 'un', 'peu', 'cher', 'quand', 'meme']"
19,510,bed15ceb-e455-4baa-bf51-7ccad5991645,10236.0,Cc,5.0,2021-03-08T17:27:42.753Z,2021-03-08T17:27:42.753Z,600ff854cdf79f14f6c471c3,60422c28bc080b1180ea347f,Pas technique,cc,2,['cc']
20,513,a2b2c672-6c06-4e54-b1a8-e5d2698567dd,10439.0,Épatant. L assistance électrique est de ouf,5.0,2021-03-08T18:26:06.79Z,2021-03-08T18:26:06.79Z,601bd3f1cdf79f14f6ecf80f,604669cbbc080b11801b3cbd,Technique,epatant. l assistance electrique est de ouf,43,"['epatant', '.', 'l', 'assistance', 'electrique', 'est', 'de', 'ouf']"
21,31715,f02c5116-8bd9-4f18-b89b-23aa528720ae,49933.0,Merci super balade,0.0,2022-02-21T16:44:14.389735Z,2022-02-21T16:44:14.389735Z,,,Pas technique,merci super balade,18,"['merci', 'super', 'balade']"
22,31957,99de08f5-13db-489e-b5d2-c0b112d5e471,50343.0,Le guidon est cassé ,3.0,2022-02-25T12:34:32.923958Z,2022-02-25T12:34:32.923958Z,,,Technique,le guidon est casse ,20,"['le', 'guidon', 'est', 'casse']"
23,26825,2d108ead-b26b-4230-b08b-5c0187e4a051,42488.0,L’application ne sait pas fermé de suite du coup on m’a facturé plus,1.0,2021-12-05T11:13:53.999142Z,2021-12-05T11:13:53.999142Z,,,Technique,lapplication ne sait pas ferme de suite du coup on ma facture plus,68,"['lapplication', 'ne', 'sait', 'pas', 'ferme', 'de', 'suite', 'du', 'coup', 'on', 'ma', 'facture', 'plus']"
24,29230,fa791eb4-1bbe-446e-b375-5c0033f44ef0,46013.0,Cool,4.0,2022-01-15T10:49:18.77761Z,2022-01-15T10:49:18.77761Z,,,Pas technique,cool,4,['cool']
25,30944,81c10218-02da-4423-a145-09d86fd0ef12,48618.0,Parfait état du vélo. ,5.0,2022-02-10T07:39:20.916952Z,2022-02-10T07:39:20.916952Z,,,Technique,parfait etat du velo. ,22,"['parfait', 'etat', 'du', 'velo', '.']"
26,31716,cebf69e2-5c19-4f35-b742-8376fbc05808,49936.0,Bien,0.0,2022-02-21T16:44:49.501715Z,2022-02-21T16:44:49.501715Z,,,Pas technique,bien,4,['bien']
27,32651,15e05ce7-352c-4937-9918-3eec6a8a55eb,51524.0,Je remarque que la partie pleine de la roue m’a tout d’abord empêché de verrouiller. J’ai du recommencer…,4.0,2022-03-06T12:41:27.158158Z,2022-03-06T12:41:27.158158Z,,,Technique,je remarque que la partie pleine de la roue ma tout dabord empeche de verrouiller. jai du recommencer...,105,"['je', 'remarque', 'que', 'la', 'partie', 'pleine', 'de', 'la', 'roue', 'ma', 'tout', 'dabord', 'empeche', 'de', 'verrouiller', '.', 'jai', 'du', 'recommencer', '...']"
28,29617,530df46d-bd34-458a-b81c-d159c80f18fc,46579.0,Vélo déchargé,1.0,2022-01-21T12:50:54.213259Z,2022-01-21T12:50:54.213259Z,,,Technique,velo decharge,13,"['velo', 'decharge']"
29,30945,eb2b3883-b34f-40aa-965b-7ecd24daa800,48619.0,Pppmpmmmmm,1.0,2022-02-10T07:52:26.044774Z,2022-02-10T07:52:26.044774Z,,,Pas technique,pppmpmmmmm,10,['pppmpmmmmm']
30,514,2a681011-589e-4c14-90d8-f9eb197f5e6d,3332.0,Grincement du velo,4.0,2021-03-09T05:49:27.601Z,2021-03-09T05:49:27.601Z,5e496e78dcde2b614003f8f7,60470a58bc080b11801cb08e,Technique,grincement du velo,18,"['grincement', 'du', 'velo']"
31,522,3501f6a2-0587-4caa-b519-323a98161d6c,3100.0,Freins mal réglés et assez dangereux ,3.0,2021-03-09T15:57:50.454Z,2021-03-09T15:57:50.454Z,5e47e1dadcde2b6140fd8162,604799f8bc080b118021c3e5,Technique,freins mal regles et assez dangereux ,37,"['freins', 'mal', 'regles', 'et', 'assez', 'dangereux']"
32,527,c3e25db0-6aeb-40ff-8de9-35f9879edfe9,10300.0,Petit problème de frein arrière sinon parfait ,5.0,2021-03-09T17:56:55.788Z,2021-03-09T17:56:55.788Z,6013c980cdf79f14f6cf2a2c,6047b3a6bc080b118022f16f,Technique,petit probleme de frein arriere sinon parfait ,46,"['petit', 'probleme', 'de', 'frein', 'arriere', 'sinon', 'parfait']"
33,530,09e66fcd-469d-42e0-8262-71814933c2aa,11900.0,Ok,5.0,2021-03-10T10:21:14.366Z,2021-03-10T10:21:14.366Z,6043508abc080b1180f40d85,60489a33bc080b118026b39d,Pas technique,ok,2,['ok']
35,535,50a785aa-abde-4d6b-966d-e1cd5e6cf229,10576.0,Jfjf,5.0,2021-03-10T11:03:37.904Z,2021-03-10T11:03:37.904Z,6022cba5e06348078272f15b,6048a751bc080b118029deac,Pas technique,jfjf,4,['jfjf']
36,537,2812f92c-f2aa-410f-a985-7fc757aff868,10686.0,Good goor hya,5.0,2021-03-10T11:33:08.003Z,2021-03-10T11:33:08.003Z,6024d77be063480782791467,6048a7abbc080b118029e890,Pas technique,good goor hya,13,"['good', 'goor', 'hya']"
37,538,c7ef4966-1b5b-45bb-bbad-0429e962707d,10687.0,Arrêter avec vos ptn de commentaire ,5.0,2021-03-10T11:50:38.141Z,2021-03-10T11:50:38.141Z,6024d77be063480782791467,6048ae7dbc080b11802a5b43,Pas technique,arreter avec vos ptn de commentaire ,36,"['arreter', 'avec', 'vos', 'ptn', 'de', 'commentaire']"
38,31959,1ce7d188-d3ea-493f-a318-9fdd73544da9,50345.0,Good,5.0,2022-02-25T12:49:05.193645Z,2022-02-25T12:49:05.193645Z,,,Pas technique,good,4,['good']
39,4496,f09635f4-2a73-40bd-95a1-cb9028575700,17688.0,Trop bien ,5.0,2021-07-03T14:30:37.839Z,2021-07-03T14:30:37.839Z,60e012ebdcb3f87596381eab,60e06a4bdcb3f87596438dfc,Pas technique,trop bien ,10,"['trop', 'bien']"
40,32194,43614529-5f9b-463c-be6a-ed7bbb743bd3,50748.0,Super,0.0,2022-02-28T13:29:01.903448Z,2022-02-28T13:29:01.903448Z,,,Pas technique,super,5,['super']
41,32424,fe8a4072-c093-40ce-b7cb-99821e610827,51149.0,top,5.0,2022-03-03T15:23:22.739587Z,2022-03-03T15:23:22.739587Z,,,Pas technique,top,3,['top']
42,11089,8b31b918-6329-4566-ae76-4090bd25b603,25389.0,Les frins sont très dur,3.0,2021-08-12T14:42:49.847Z,2021-08-12T14:42:49.847Z,610fe98adcb3f875964645b2,61152f69dcb3f875965640e2,Technique,les frins sont tres dur,23,"['les', 'frins', 'sont', 'tres', 'dur']"
43,11090,018242e5-3364-432e-b7d4-448dc569d21a,25389.0,Les frins sont très dur,3.0,2021-08-12T14:42:49.848Z,2021-08-12T14:42:49.848Z,610fe98adcb3f875964645b2,61152f69dcb3f875965640e2,Technique,les frins sont tres dur,23,"['les', 'frins', 'sont', 'tres', 'dur']"
44,11091,64781f21-847e-41e3-9e7d-fc08159e1edd,25389.0,Les frins sont très dur,3.0,2021-08-12T14:42:49.923Z,2021-08-12T14:42:49.923Z,610fe98adcb3f875964645b2,61152f69dcb3f875965640e2,Technique,les frins sont tres dur,23,"['les', 'frins', 'sont', 'tres', 'dur']"
45,540,26a8929f-5f42-48e4-b302-1edf69c7f2dd,10689.0,Gooe,5.0,2021-03-10T14:10:13.924Z,2021-03-10T14:10:13.924Z,6024d77be063480782791467,6048d01fbc080b11802b4b1a,Pas technique,gooe,4,['gooe']
46,542,1b6b1803-f14d-48a9-9438-0f02d62e4d0e,10580.0,Vélo qui fait un bruit de graicement,3.0,2021-03-10T15:57:36.726Z,2021-03-10T15:57:36.726Z,6022cba5e06348078272f15b,6048e9c3bc080b11802c39c5,Technique,velo qui fait un bruit de graicement,36,"['velo', 'qui', 'fait', 'un', 'bruit', 'de', 'graicement']"
47,543,028cee3b-bbb2-49cb-b4b6-ffdfb4ed728f,5716.0,Pédale droite et selle tordu sur le vélo 097,3.0,2021-03-10T16:56:54.918Z,2021-03-10T16:56:54.918Z,5eca6db0b32c961f3da7bb44,6048f6a5bc080b11802d45ea,Technique,pedale droite et selle tordu sur le velo 097,44,"['pedale', 'droite', 'et', 'selle', 'tordu', 'sur', 'le', 'velo', '097']"
48,564,c325914f-3746-48a9-bde6-68273288c345,9465.0,Meilleure connectivite ,5.0,2021-03-11T14:55:25.44Z,2021-03-11T14:55:25.44Z,5fb605c99a52035c45c5ce34,604a2d16bc080b11803575f9,Technique,meilleure connectivite ,23,"['meilleure', 'connectivite']"
49,575,3ce0dd77-c24d-48ee-b819-720c6030b162,10440.0,Bravo à vous ce service est épatant ,5.0,2021-03-12T16:03:47.636Z,2021-03-12T16:03:47.636Z,601bd3f1cdf79f14f6ecf80f,604b8ea9bc080b118041bf75,Pas technique,bravo a vous ce service est epatant ,36,"['bravo', 'a', 'vous', 'ce', 'service', 'est', 'epatant']"
50,576,c61d83f4-a8a7-433e-bfbd-dda2e995e426,12067.0,Super! ,5.0,2021-03-12T16:55:47.767Z,2021-03-12T16:55:47.767Z,604b1cc9bc080b11803bc822,604b9964bc080b1180421afd,Pas technique,super! ,7,"['super', '!']"
51,583,d6d2964f-7402-4deb-b1a6-7d6d699b1a19,6915.0,Super ,5.0,2021-03-13T13:12:45.778Z,2021-03-13T13:12:45.778Z,5ef52b04e8bd685cc154aa1a,60440838bc080b1180fc4702,Pas technique,super ,6,['super']
52,25175,24346f6a-0f96-4381-9ce4-e93a98d01798,40038.0,Pas de batterie ,2.0,2021-11-11T21:33:47.253296Z,2021-11-11T21:33:47.253296Z,,,Technique,pas de batterie ,16,"['pas', 'de', 'batterie']"
53,602,4645cb13-19a0-46f1-a755-ad460c30f08e,10238.0,Gaffe,5.0,2021-03-14T17:03:37.575Z,2021-03-14T17:03:37.575Z,600ff854cdf79f14f6c471c3,604e1f41bc080b11805ca9d8,Pas technique,gaffe,5,['gaffe']
54,610,d6ba9966-08bb-4d4d-8eb2-baffb4dae015,4686.0,Le pneu sont très glissant ,4.0,2021-03-15T12:29:02.039Z,2021-03-15T12:29:02.039Z,5e64248471b01206997b10ac,604f4dc0bc080b1180656c19,Technique,le pneu sont tres glissant ,27,"['le', 'pneu', 'sont', 'tres', 'glissant']"
55,617,f9e50c9a-c5e5-49a6-b678-00d9cce11bf0,10489.0,Aucune aide électrique ,1.0,2021-03-15T17:21:26.216Z,2021-03-15T17:21:26.216Z,601fecbacdf79f14f6fa8b67,604f94dcbc080b118068f99a,Technique,aucune aide electrique ,23,"['aucune', 'aide', 'electrique']"
56,629,05abc94d-d2a0-49eb-a73c-603bb402d90b,12376.0,super,5.0,2021-03-16T15:42:04.021Z,2021-03-16T15:42:04.021Z,6050cf1dbc080b1180717c09,6050d17cbc080b1180718d9b,Pas technique,super,5,['super']
57,630,815753af-3d59-41ec-b850-1fcdaa1f3a88,12377.0,parfait,5.0,2021-03-16T15:53:03.76Z,2021-03-16T15:53:03.76Z,6050cf1dbc080b1180717c09,6050d1f8bc080b1180719317,Pas technique,parfait,7,['parfait']
58,641,d6ca6dc6-0a82-4ac7-9e7a-741dae292d4d,12382.0,Mon vélo faisait beaucoup de bruit (rails?) Sinon très pratique !,4.0,2021-03-17T12:34:35.811Z,2021-03-17T12:34:35.811Z,6051e791bc080b1180767fa6,6051ee5dbc080b118076c621,Technique,mon velo faisait beaucoup de bruit (rails?) sinon tres pratique !,65,"['mon', 'velo', 'faisait', 'beaucoup', 'de', 'bruit', '(', 'rails', '?', ')', 'sinon', 'tres', 'pratique', '!']"
59,26291,4bf9bb32-f6a4-4a9e-ad3c-1a53b76d8542,41687.0,Trop de bugs ,2.0,2021-11-26T13:43:24.159679Z,2021-11-26T13:43:24.159679Z,,,Technique,trop de bugs ,13,"['trop', 'de', 'bugs']"
60,27361,895b5978-05e9-483d-99b9-179795ce19da,43301.0,frein droit du 136 en panne ,1.0,2021-12-14T15:53:51.428717Z,2021-12-14T15:53:51.428717Z,,,Technique,frein droit du 136 en panne ,28,"['frein', 'droit', 'du', '136', 'en', 'panne']"
61,28813,f549f7e3-fc01-43b4-a24c-ff9022bdd073,45428.0,pas de frein,2.0,2022-01-10T09:45:11.072016Z,2022-01-10T09:45:11.072016Z,,,Technique,pas de frein,12,"['pas', 'de', 'frein']"
62,652,3d92f7c8-9d8a-4678-acab-62019689681d,3116.0,Toujours un plaisir ,5.0,2021-03-18T07:34:57.276Z,2021-03-18T07:34:57.276Z,5e4813d9dcde2b6140fefb8b,60530157bc080b11807bb117,Pas technique,toujours un plaisir ,20,"['toujours', 'un', 'plaisir']"
63,658,739a6f27-5190-401d-827b-04246d102f4d,2994.0,Rapide pratique,5.0,2021-03-18T10:01:09.216Z,2021-03-18T10:01:09.216Z,5e47bad4dcde2b6140fb8eb4,605323d9bc080b11807c50d6,Pas technique,rapide pratique,15,"['rapide', 'pratique']"
64,664,9bd912b8-99d7-42bf-aebd-7853ae51fa8b,12378.0,pas ouf ,3.0,2021-03-18T11:57:03.93Z,2021-03-18T11:57:03.93Z,6050cf1dbc080b1180717c09,60533fd4bc080b11807de2b6,Pas technique,pas ouf ,8,"['pas', 'ouf']"
65,673,b26f35a7-31ef-4f8e-a847-48ef21c4f3f0,10490.0,Très bon voyage la dernière foit aucune assistance électrique avec le 007 ,5.0,2021-03-18T15:32:14.273Z,2021-03-18T15:32:14.273Z,601fecbacdf79f14f6fa8b67,605370ecbc080b118080c082,Technique,tres bon voyage la derniere foit aucune assistance electrique avec le 007 ,74,"['tres', 'bon', 'voyage', 'la', 'derniere', 'foit', 'aucune', 'assistance', 'electrique', 'avec', 'le', '007']"
66,685,54bf88d4-3680-4843-9af5-da6e8c44db4d,11275.0,Très bien vélo réactif et rapide. Dommage les roues pleines qui rendent le trajet chaotique ,5.0,2021-03-19T08:28:35.331Z,2021-03-19T08:28:35.331Z,6036692d41a4ea629b3765f1,604dcfc4bc080b1180580c76,Technique,tres bien velo reactif et rapide. dommage les roues pleines qui rendent le trajet chaotique ,92,"['tres', 'bien', 'velo', 'reactif', 'et', 'rapide', '.', 'dommage', 'les', 'roues', 'pleines', 'qui', 'rendent', 'le', 'trajet', 'chaotique']"
67,694,d19408ed-4a3e-460b-98e0-cdd9c85a36ec,8805.0,Problème de facturation cela mais fais perdre 2 €,3.0,2021-03-19T14:06:06.63Z,2021-03-19T14:06:06.63Z,5f8095cd5b406d54d571f86d,6054a722bc080b1180869fa1,Pas technique,probleme de facturation cela mais fais perdre 2 ,49,"['probleme', 'de', 'facturation', 'cela', 'mais', 'fais', 'perdre', '2']"
68,703,b31bb208-2bdb-4ab7-a005-902258e37d89,12279.0,Au Top ! ,5.0,2021-03-19T17:46:39.687Z,2021-03-19T17:46:39.687Z,604cd571bc080b11804f6728,604d76fcbc080b118055e0e7,Pas technique,au top ! ,9,"['au', 'top', '!']"
69,869,52b98155-f616-435c-ab60-c2a521fd8b32,,Quelques,4.0,2021-03-24T13:32:35.183Z,2021-03-24T13:32:35.183Z,5d8225357c03ab2bd2a75090,605b3d3cbc080b1180cf7201,Pas technique,quelques,8,['quelques']
70,716,d3c4f7b3-deda-44b0-b71e-7469d2872c5a,12415.0,Trop cher,5.0,2021-03-20T09:42:48.845Z,2021-03-20T09:42:48.845Z,6055b94cbc080b11808d0074,6055b9f1bc080b11808d0376,Pas technique,trop cher,9,"['trop', 'cher']"
71,721,bc20e065-5852-4aa3-a87f-3dab6d39d90d,12168.0,Trop bien,5.0,2021-03-20T09:54:21.492Z,2021-03-20T09:54:21.492Z,604cb5cebc080b118049fdc8,6050e2bfbc080b11807206d8,Pas technique,trop bien,9,"['trop', 'bien']"
72,725,c3b4caaa-2442-4cd4-8e3d-010bb1a486a6,12170.0,Bonjour ,5.0,2021-03-20T10:05:04.093Z,2021-03-20T10:05:04.093Z,604cb5cebc080b118049fdc8,6055c7e1bc080b11808e2b02,Pas technique,bonjour ,8,['bonjour']
73,739,12a695ca-423c-41dd-9adc-e95ac92551f3,11623.0,ok,5.0,2021-03-20T13:40:04.392Z,2021-03-20T13:40:04.392Z,603bc412bc080b11809bfe0c,6043afb8bc080b1180f97098,Pas technique,ok,2,['ok']
74,746,ce05aabd-18c7-4427-99b0-9640130c3631,12417.0,Top ! Fun et facile pour faire le tour de Menton,4.0,2021-03-20T14:42:49.475Z,2021-03-20T14:42:49.475Z,6055c161bc080b11808d670a,60560141bc080b1180933c06,Pas technique,top ! fun et facile pour faire le tour de menton,48,"['top', '!', 'fun', 'et', 'facile', 'pour', 'faire', 'le', 'tour', 'de', 'menton']"
75,749,0e686fad-2755-43c3-b29c-cc7c1862cbb5,12445.0,Cool,5.0,2021-03-20T16:13:19.898Z,2021-03-20T16:13:19.898Z,60561c1dbc080b118099453a,60561cedbc080b1180997f0b,Pas technique,cool,4,['cool']
76,757,0a2f0130-11a2-49ab-bf34-4305be81a95f,12446.0,Parfait,5.0,2021-03-20T17:48:10.68Z,2021-03-20T17:48:10.68Z,60562e9dbc080b11809b5450,60563243bc080b11809bb8e5,Pas technique,parfait,7,['parfait']
77,761,8f9297e9-b7e6-4872-b074-8a46dbb781ce,4918.0,Pratique et facile. ,5.0,2021-03-20T18:55:46.404Z,2021-03-20T18:55:46.404Z,5e68f8c071b01206999a8d7d,605643febc080b11809d274a,Pas technique,pratique et facile. ,20,"['pratique', 'et', 'facile', '.']"
78,764,b5c4c992-27f6-4d7a-920b-2e099346d96a,7857.0,Non,1.0,2021-03-21T06:42:18.929Z,2021-03-21T06:42:18.929Z,5f2728b0ec0a5f5df4887c76,60563038bc080b11809b974e,Pas technique,non,3,['non']
79,766,003223c1-ba2c-4ab4-b5c0-b4ba25fcd071,11312.0,Vélo poussif sur la fin ,1.0,2021-03-21T08:16:28.319Z,2021-03-21T08:16:28.319Z,6036b4fb41a4ea629b3aa47e,6056f061bc080b11809fb80b,Technique,velo poussif sur la fin ,24,"['velo', 'poussif', 'sur', 'la', 'fin']"
80,778,7a51f1ed-a752-4553-bea8-fb0179d0d04e,12447.0,Parfait ,5.0,2021-03-21T13:30:18.582Z,2021-03-21T13:30:18.582Z,60562e9dbc080b11809b5450,60574772bc080b1180a61d16,Pas technique,parfait ,8,['parfait']
81,785,31e7ff6d-68f6-4690-869c-e1bcdcec554f,12448.0,Parfait,5.0,2021-03-21T15:38:39.381Z,2021-03-21T15:38:39.381Z,60562e9dbc080b11809b5450,6057666ebc080b1180a943b4,Pas technique,parfait,7,['parfait']
82,786,b9824b49-af84-40d3-84cc-c52654598e0a,12449.0,Bien,5.0,2021-03-21T16:24:18.322Z,2021-03-21T16:24:18.322Z,60562e9dbc080b11809b5450,605772bfbc080b1180ab0995,Pas technique,bien,4,['bien']
83,790,37a3a1f6-a259-411f-9c2f-ce121fc4071d,10316.0,Beaucoup de bruit lors du freinage sinon parfait ,5.0,2021-03-21T17:42:24.17Z,2021-03-21T17:42:24.17Z,6013c980cdf79f14f6cf2a2c,605781e1bc080b1180abda7f,Technique,beaucoup de bruit lors du freinage sinon parfait ,49,"['beaucoup', 'de', 'bruit', 'lors', 'du', 'freinage', 'sinon', 'parfait']"
84,793,4982e22b-4763-4ca8-bf71-02b1272c9654,12450.0,Excellent,5.0,2021-03-21T17:54:11.794Z,2021-03-21T17:54:11.794Z,60562e9dbc080b11809b5450,60578615bc080b1180ac5a8b,Pas technique,excellent,9,['excellent']
85,812,5ea57c55-0097-4d94-ad49-297c17ab5c1c,12483.0,Très cool ,5.0,2021-03-22T16:12:21.453Z,2021-03-22T16:12:21.453Z,6058b4b8bc080b1180b4f94a,6058b63fbc080b1180b53847,Pas technique,tres cool ,10,"['tres', 'cool']"
86,815,36fa6577-3ae9-41a8-bbdf-d71d37b637c4,11926.0,Quille cassée roue en mauvais état ,2.0,2021-03-22T21:14:03.552Z,2021-03-22T21:14:03.552Z,6044fd9ebc080b118006d389,6059064fbc080b1180b8e437,Technique,quille cassee roue en mauvais etat ,35,"['quille', 'cassee', 'roue', 'en', 'mauvais', 'etat']"
87,817,4dfc6f50-3659-448c-9e9e-80722d42ea94,12042.0,Tres bien pour une 1et fois sûrement à refaire merci,4.0,2021-03-23T06:43:29.194Z,2021-03-23T06:43:29.194Z,6048a31ebc080b118027afad,60598b46bc080b1180ba22ee,Pas technique,tres bien pour une 1et fois surement a refaire merci,52,"['tres', 'bien', 'pour', 'une', '1et', 'fois', 'surement', 'a', 'refaire', 'merci']"
88,821,3a2b7f3d-c2d1-44dc-9ef0-79071beb716a,8969.0,Arrêtez ce bug,5.0,2021-03-23T10:01:53.637Z,2021-03-23T10:01:53.637Z,5f8f36f4fecfb355e001c509,6059bc3dbc080b1180bbe1f2,Technique,arretez ce bug,14,"['arretez', 'ce', 'bug']"
89,833,b46214aa-85f9-41af-916e-8ad22b4f4af5,11278.0,Très bien mais merci de ne plus réclamer d’évaluation à chaque trajet ça devient gênant ,5.0,2021-03-23T15:29:29.058Z,2021-03-23T15:29:29.058Z,6036692d41a4ea629b3765f1,605a0882bc080b1180bfd68c,Technique,tres bien mais merci de ne plus reclamer devaluation a chaque trajet ca devient genant ,88,"['tres', 'bien', 'mais', 'merci', 'de', 'ne', 'plus', 'reclamer', 'devaluation', 'a', 'chaque', 'trajet', 'ca', 'devient', 'genant']"
91,24023,4a75de65-58cd-4d71-852c-aa6c0bbf916f,38449.0,Velo moyen,4.0,2021-10-28T16:12:17.232515Z,2021-10-28T16:12:17.232515Z,,,Technique,velo moyen,10,"['velo', 'moyen']"
94,837,aee4fbeb-7e44-4c93-b808-9271ad61082e,12043.0,Super très contente demain je recommence ,4.0,2021-03-23T16:34:28.017Z,2021-03-23T16:34:28.017Z,6048a31ebc080b118027afad,605a1643bc080b1180c250ad,Pas technique,super tres contente demain je recommence ,41,"['super', 'tres', 'contente', 'demain', 'je', 'recommence']"
95,847,65769fe9-6f7e-4794-bc76-0cb5f126c819,12044.0,Super et merci à refaire sûrement ,4.0,2021-03-24T06:34:08.697Z,2021-03-24T06:34:08.697Z,6048a31ebc080b118027afad,605adaf0bc080b1180c8a095,Pas technique,super et merci a refaire surement ,34,"['super', 'et', 'merci', 'a', 'refaire', 'surement']"
